,HR surface density (g/cm2),HR surf dens radius (pc),LR surface density (g/cm2),LR surface density radius (pc),Reproj surface density (g/cm2),Reproj surf dens radius (pc),CSM surface density (g/cm2),CSM Surf Dens Radius (pc)
73,-5.052978023724181e-06,0.00012135844665843456,7.098858205672623e-05,0.0003033961166460864,,0.0003033961166460864,,0.0003033961166460864
74,-5.0652561361422665e-06,0.0001229874190968028,7.215962976529098e-05,0.000307468547742007,,0.000307468547742007,,0.000307468547742007
75,-4.77600791939163e-06,0.00012461639153517104,7.33815402558508e-05,0.0003115409788379276,,0.0003115409788379276,,0.0003115409788379276
76,-4.14454034929675e-06,0.0001262453639735393,7.448611048189775e-05,0.0003156134099338483,,0.0003156134099338483,,0.0003156134099338483
77,-3.1684032228114542e-06,0.00012787433641190754,7.562316103520044e-05,0.00031968584102976883,,0.00031968584102976883,,0.00031968584102976883
78,-1.9055405758104652e-06,0.00012950330885027578,7.677150911695152e-05,0.0003237582721256895,,0.0003237582721256895,,0.0003237582721256895
79,-4.6994066775743165e-07,0.00013113228128864405,7.80706511044595e-05,0.00032783070322161016,,0.00032783070322161016,,0.00032783070322161016
80,9.929666242045065e-07,0.0001327612537270123,7.954072707008068e-05,0.00033190313431753077,,0.00033190313431753077,,0.00033190313431753077
81,2.3428817418040564e-06,0.00013439022616538055,8.12189838151888e-05,0.0003359755654134513,,0.0003359755654134513,,0.0003359755654134513
82,3.479471414530792e-06,0.0001360191986037488,8.303770455497691e-05,0.000340047996509372,,0.000340047996509372,,0.000340047996509372
83,4.359566397352298e-06,0.00013764817104211706,8.512488679548216e-05,0.0003441204276052926,,0.0003441204276052926,,0.0003441204276052926
84,4.992241470436539e-06,0.0001392771434804853,8.729589313932802e-05,0.00034819285870121326,,0.00034819285870121326,,0.00034819285870121326
85,5.418486322767051e-06,0.00014090611591885353,8.927524204634418e-05,0.0003522652897971338,,0.0003522652897971338,,0.0003522652897971338
86,5.681085519490315e-06,0.0001425350883572218,9.12884403459462e-05,0.0003563377208930544,,0.0003563377208930544,,0.0003563377208930544
87,5.805326817047867e-06,0.00014416406079559004,9.34323410067716e-05,0.0003604101519889751,,0.0003604101519889751,,0.0003604101519889751
88,5.793931547992546e-06,0.00014579303323395827,9.605708521326574e-05,0.00036448258308489575,,0.00036448258308489575,,0.00036448258308489575
89,5.6333917951691645e-06,0.00014742200567232654,9.92776490762108e-05,0.0003685550141808163,,0.0003685550141808163,,0.0003685550141808163
90,5.3197052141587015e-06,0.0001490509781106948,0.0001025644616368136,0.00037262744527673697,,0.00037262744527673697,,0.00037262744527673697
91,4.868335895271522e-06,0.00015067995054906304,0.00010586553387260044,0.0003766998763726576,,0.0003766998763726576,,0.0003766998763726576
92,4.323351779032102e-06,0.00015230892298743128,0.00010938276011664701,0.00038077230746857825,,0.00038077230746857825,,0.00038077230746857825
93,3.7431480878906537e-06,0.00015393789542579955,0.00011231756913566064,0.0003848447385644988,,0.0003848447385644988,,0.0003848447385644988
94,3.1789951947443125e-06,0.0001555668678641678,0.00011430196476981768,0.0003889171696604194,,0.0003889171696604194,,0.0003889171696604194
95,2.650603621990584e-06,0.00015719584030253602,0.00011605578980698682,0.0003929896007563401,,0.0003929896007563401,,0.0003929896007563401
96,2.139566812446762e-06,0.00015882481274090426,0.00011798183358279806,0.00039706203185226074,,0.00039706203185226074,,0.00039706203185226074
97,1.5982019165737953e-06,0.00016045378517927253,0.0001197949452646476,0.0004011344629481813,,0.0004011344629481813,,0.0004011344629481813
98,9.738121407635512e-07,0.00016208275761764077,0.00012136797524512566,0.00040520689404410196,,0.00040520689404410196,,0.00040520689404410196
99,2.3772013411322189e-07,0.00016371173005600903,0.00012300026876712136,0.0004092793251400226,,0.0004092793251400226,,0.0004092793251400226
100,-5.971116977244373e-07,0.00016534070249437727,0.00012465350837705732,0.0004133517562359431,,0.0004133517562359431,,0.0004133517562359431
101,-1.4787968906736613e-06,0.00016696967493274556,0.00012557897436297013,0.0004174241873318639,,0.0004174241873318639,,0.0004174241873318639
102,-2.3349808395970847e-06,0.00016859864737111377,0.00012573029508963822,0.0004214966184277844,,0.0004214966184277844,,0.0004214966184277844
103,-3.0987972007283805e-06,0.000170227619809482,0.00012579744998059123,0.00042556904952370506,,0.00042556904952370506,,0.00042556904952370506
