,HR density (g/cm3),HR density radius (pc),LR density (g/cm3),LR density radius (pc)
171,1.740165808511338e-21,0.00028181223183770706,-3.0367898414341664e-21,0.0007045305795942676
172,1.4345310508659557e-21,0.00028344120427607533,-3.044602899550543e-21,0.0007086030106901882
173,1.2600526351372102e-21,0.00028507017671444354,-2.940095289160233e-21,0.000712675441786109
174,1.175551713900174e-21,0.00028669914915281175,-2.7271627011266402e-21,0.0007167478728820295
175,1.033013356933089e-21,0.00028832812159118,-2.3720286010275315e-21,0.0007208203039779501
176,6.804551995976406e-22,0.0002899570940295483,-1.8553302766878487e-21,0.0007248927350738707
177,9.147717174691953e-23,0.00029158606646791655,-1.2909082994428438e-21,0.0007289651661697913
178,-6.11038288792878e-22,0.0002932150389062848,-8.207096121397074e-22,0.000733037597265712
179,-1.2535096711096845e-21,0.000294844011344653,-4.7199368558515655e-22,0.0007371100283616327
180,-1.7172429053175605e-21,0.0002964729837830213,-7.609460403905444e-23,0.0007411824594575531
181,-1.9697296318910323e-21,0.0002981019562213895,5.394312178615846e-22,0.0007452548905534739
182,-2.042188686902667e-21,0.0002997309286597578,1.3192784561250453e-21,0.0007493273216493943
183,-1.9974310178869052e-21,0.00030135990109812603,2.07832121355874e-21,0.0007533997527453151
184,-1.899732499183177e-21,0.0003029888735364943,2.6847864673921252e-21,0.0007574721838412356
185,-1.7860059929505198e-21,0.00030461784597486256,3.0679743249655378e-21,0.0007615446149371563
186,-1.6568574301256633e-21,0.0003062468184132308,3.2485889399510255e-21,0.0007656170460330771
187,-1.4983230629310113e-21,0.000307875790851599,3.3462452804766074e-21,0.0007696894771289975
188,-1.3073053217816845e-21,0.00030950476328996725,3.35741831657433e-21,0.0007737619082249182
189,-1.097665041906361e-21,0.0003111337357283355,3.1529096764296253e-21,0.0007778343393208387
190,-8.836313488444063e-22,0.0003127627081667038,2.764495914638472e-21,0.0007819067704167594
191,-6.653874416683122e-22,0.000314391680605072,2.4009244183382876e-21,0.00078597920151268
192,-4.356408657290416e-22,0.00031602065304344026,2.1856491048276912e-21,0.0007900516326086007
193,-1.9943436588722557e-22,0.0003176496254818085,2.0105819426457372e-21,0.0007941240637045214
194,6.1339677955032046e-24,0.0003192785979201768,1.632990431490695e-21,0.000798196494800442
195,1.0308312596180375e-22,0.000320907570358545,9.577847485253557e-22,0.0008022689258963626
196,-0.0,0.00032253654279691327,-0.0,0.0008063413569922833
